"","value"
"45","<U+274D> 기반 조성은 한국생산기술연구원 제주본부가 ‘전기차 통합 유지보수 실증기반 구축’부문의 주관을 맡아 전기차 고장 데이터(DB) 기반의 유지보수기술 개발과 정비·제조·부품기업 역량 강화를 위한 기술 지원 사업을 수행한다."
"46","<U+274D> 기술 개발 부문은 ㈜부품디비가‘전기차 통합유지보수 플랫폼 기술 개발’을 주관해 제주대학교 산학협력단, 한국자동차연구원과 함께 전기차 고장 DB를 바탕으로 한 고장진단 및 열화원인 분석정보를 제공할 수 있는 플랫폼기술 개발을 추진하게 된다."
"47","<U+274D> 이번 다자간 업무협약에 참여한 (사)한국자동차검사정비사업조합연합회는 수요기관으로서, 정비업체 협력 네트워크 지원을 통해 정비·안전관리 교육 및 보급 역할을 담당할 계획이다."
"48","ㅁ<U+F071> 전기차 보급과 충전 인프라에서 가장 앞서 있는 제주특별자치도는 이번 기반구축 사업 추진으로 전기차 전문 정비기술과 애프터마켓 관련 전·후방산업 육성에도 속도를 높일 수 있게 된다."
"49","<U+274D> 제주도는 이에 앞서 도내 연구기관, 대학, 유관기관과 협력해 사업계획을 수립하고, 산업통상자원부가 지난 3월 공모한 ‘전기차 통합유지보수 기반구축 사업’에 최종 선정되는 성과를 이끌어 냈다."
"50","ㅁ<U+F071> 노희섭 미래전략국장은 “전기차 통합 유지보수 기반 구축은 사용자 편의성 뿐 아니라 정비 관련 기술·인프라·일자리를 창출하는 전기차 생태계 구축사업의 일환”이라고 설명하며 “이를 통해 탄소 제로섬을 구현하는 한편 제주도가 전기차 연관 산업 육성 원년으로 설정한 2021년 계획에도 청신호가 켜질 것으로 기대한다”고 말했다."
"51","ㅁ<U+F071> 한편, 제주특별자치도는 7월부터 본격화되는 이번 사업에서 전기차 전·후방산업 육성 및 유지보수 기술의 보급·확산을 위한 정책 지원을 수행하게 되며, 미래전략국을 중심으로 자동차 연관 부서가 협력해 나갈 계획이다."
"52","첨부 1. 전기차 통합유지보수 기반구축 사업 업무협약 계획(안) 1부."
"53","첨부 2. 전기차 통합유지보수 기반구축 사업 추진 계획 및 추진 체계 1부."
"54","■ 원희룡 제주특별자치도지사는 “감사원 감사결과에 따라 부동산 공시가격의 문제점들이 여실히 드러난 만큼 서민을 울리는 잘못된 부동산 공시가격을 바로 잡아야 한다”고 강조했다."
"55","■ 원희룡 지사는 28일 오전 11시 제주도청 집무실에서 ‘부동산 공시가격 관련 태스크포스(TF) 1차 회의’를 열고 “제주도가 공시가격을 직접 검증할 수 있는 부동산 공시가격 검증센터를 설치하고, 전국 최초로 공시가격의 적정성 확보를 위한 시범사업을 추진하겠다”며 이같이 밝혔다."
"56","<U+274D> 제주도는 공시가격 오류를 그대로 둔 채로는 조세형평성 및 조세정책에 대한 국민 신뢰가 낮아진다고 판단하여,"
"57","<U+274D> 선제적으로 제주도민의 조세형평성을 제고하고 국가 조세정책의 투명성, 공정성, 수용성에도 기여하겠다는 취지에서 센터 설치를 추진한다."
"58","■ 제주도 자체조사에 따르면, 주택 약 1만개 동에서 역전현상이 발견되었다. 이는 제주도 전체 개별주택 약 10만동의 10%에 해당되는 규모로, 공시가격 역전 오류 중에 450여 개는 제주도와는 관계없이 국토부이 만든 표준주택이며, 제주도 전체 표준주택(4,451동)의 10%에 해당한다고 제주도는 밝혔다."
"59","<U+274D> 제주도는 국토부가 만든 표준주택 가격 오류가 제주도에 전달되어 개별주택 가격 오류로 나타났다고 판단하고 있다."
"60","■ 제주도는 이러한 역전오류 등 부동산 공시가격 문제를 지방자치단체 차원에서 직접 검증하기 위해 자체적으로 <U+FF62>제주도 공시가격 검증센터<U+FF63>를 설치하고, 주택공시가격과 공시지가 전체를 검증하고 공시가격의 적정성 여부를 판단하기 위한 실거래가격 검증도 병행할 계획이다."
"61","<U+274D> 제주도는 이를 위해 관련 부서와 전문가들이 참여하는 민관합동 테스크 포스(TF) 팀을 만들어 구체적인 추진일정 수립에 들어간다고 밝혔다."
"62","■ 제주도는 또 표준주택 가격 10%가 오류로 조사된 만큼 제주도 표준주택 450여 개 동을 대상으로 공시가격의 적정성 확보를 위한 시범사업도 전국 최초로 추진할 계획이다."
"63","<U+274D> 제주도는 표준주택가격 조사 결과에 대한 면밀한 분석과 검토를 거쳐 피해를 구제할 수 있는 방안을 찾을 것이며, 특히 조사 결과, 불합리하게 결정<U+FF65>공시된 사례가 많을 경우에는 대대적인 전수 정밀조사도 검토할 계획이다."
"64","■ 원희룡 지사는 “매매도<U+00A0>없었고<U+00A0>소득도<U+00A0>늘지<U+00A0>않았는데, 단지<U+00A0>주택<U+00A0>공시가격이<U+00A0>상승되었다고 생계급여, 의료급여에서 탈락하는 사례가 발생하고 있다. 잘못된 공시가격 때문에 서민들의 세금<U+00A0>부담이<U+00A0>가중되거나<U+00A0><U+00A0>각종<U+00A0>복지수혜에서<U+00A0>제외되어서는 안 된다”며 “부동산 공시가격 검증센터를 만들어 공시가격 때문에 억울함이 없도록 도민 편에 서서 피해구제와 보호책을 마련해 나갈 계획”이라고 강조했다."
"65","■ 코로나19로 인한 제주지역 경제위기 극복과 항만 물류비 절감 등을 통한 지역산업 발전에 기여하기 위해 제주특별자치도와 제주도 항운노조, 제주항만물류협회가 힘을 합쳤다."
"66","■ 제주특별자치도는 26일 오후 4시 40분 제주도청 백록홀에서 ‘경제위기 극복을 위한 항만 노·사·정 공동 선언식’을 개최했다고 밝혔다."
"67","<U+274D> 이날 선언식에는 원희룡 제주특별자치도지사를 비롯해 전경탁 항운노조위원장, 고영철 항만물류협회장 등 노·사·정 관계자들이 참석했다."
"68","■ 원희룡 지사는 이날 공동 선언식에서 “제주항만은 제주지역 전체 물동량의 97% 소화하는 제주물류의 심장과 혈관”이라면서 “이번 공동선언이 제주의 물류경쟁력을 높이고 도민의 가계 안정, 코로나 위기극복에 큰 힘이 될 것”이라고 항운노조와 항만물류협회에 감사의 말을 전했다."
"69","<U+274D> 이어 “최근 물류 산업은 집콕, 비대면이라는 소비성향 때문에 새로운 기회와 환경을 맞고 있다”며 “제주도정에서는 청정 제주의 농수축산물을 활용한 제품을 개발하고 유통혁신 프로젝트로 물류 물동량을 채우는데 박차를 가하겠다”고 강조했다."
"70","<U+274D> 아울러 “제주가 섬이라는 지리적 한계와 물류비 부담에도 불구하고 동북아 거점 해양물류 허브를 향해 나갈 수 있는 것은 여러분의 노력 덕분”이라며 “코로나 위기를 극복하고 항만 현장이 다시 활기찬 움직임을 되찾을 때까지 도에서도 최선을 다하겠다”고 말했다."
"71","■ 전경탁 항운노조위원장은 “제주도항운노동조합은 어렵고 힘들 때마다 항만하역요금 동결과 무분규 선언 등으로 제주지역 노사정의 산업평화, 지역경제 활성화에 위해 앞장서 왔다”며 “앞으로도 제주도의 발전과 도민들의 삶의 질 향상을 위해 늘 함께해 나가겠다”고 말했다."
"72","■ 고영철 항만물류협회장은 “제주항만물류협회는 제주특별자치도의 건전한 정책파트너로 그리고 항만노동조합과 긴밀한 협력체계 구축해 제주경제의 대동맥으로서의 책임을 다하겠다”고 밝혔다."
"73","■ 제주도와 제주도항운노조, 제주항만물류협회는 이날 선언식에서 2020년도 항만하역요금 및 항만노동자 임금 동결과 산업평화를 위한 무분규를 선언했다."
"74","<U+274D> 항만 노·사·정 대표들은 코로나19 영향으로 인한 지역경제 어려움을 함께 극복하고, 노·사간 상생을 위해 하역요금 및 임금을 동결하는 한편 제주 항만산업의 무분규 및 평화유지를 위해 노력할 것을 합의했다."
"75","□ 제주특별자치도는 26일 오후 4시 40분 제주도청 백록홀에서 ‘경제위기 극복을 위한 항만 노·사·정 공동 선언식’을 개최한다고 밝혔다."
"76","<U+274D> 이번 선언식은 코로나19 위기극복과 물류비 절감 등을 통해 지역산업 발전에 기여하고자 항만 하역요금 동결 등 노·사·정 합의사항을 공동으로 선언하기 위해 마련됐다."
"77","□ 이날 선언식을 통해 제주도와 제주도항운노조, 제주항만물류협회는 2020년도 항만하역요금 및 항만노동자 임금 동결과 산업평화를 위한 무분규를 선언할 계획이다."
"78","<U+274D> 항만 노·사·정 대표들은 코로나19 영향으로 인한 지역경제 어려움을 함께 극복하고, 노·사간 상생을 위해 하역요금 및 임금을 동결하는 한편 제주 항만산업의 무분규 및 평화유지를 위해 노력할 것을 합의할 예정이다."
"79","<U+274D> 오늘 노·사·정 선언식을 통해 동결된 2020년 항만하역요금은 7월 1일자로 시행되며, 2021년 6월 30일까지 효력이 유지된다."
"80","□ 제주도는 2020년 전국 평균 임금이 1.5% 인상했음에도 불구하고 이번 합의로 동결되면서 제주지역의 생필품·공산품·농수축산품 등의 물류비 절감에 도움이 될 것으로 기대하고 있다."
"81","<U+274D> 제주지역 항만하역요금은 2008년부터 2011년까지 4년 연속 동결된 후 매년 1.2 ~ 3.5% 수준에서 인상돼 왔다."
"82","□ 조동근 제주특별자치도 해양수산국장은 “코로나19 위기로 많은 도민들이 어려움을 겪고 있는 올해 경제 상황을 고려해 제주지역 노·사·정 협의회가 3차례의 적극적인 교섭을 통해 최종안을 합의했다”면서 “항만분야 노·사간 고통 분담의 노력과 협력에 무한한 경의를 표한다”고 밝혔다."
"83","□ 한편 이날 선언식에는 원희룡 제주특별자치도지사를 비롯해 전경탁 항운노조위원장, 고영철 물류협회장 등 노·사·정 관계자들이 참석할 예정이다."
"84","■ 원희룡 제주특별자치도지사는 25일 “다음세대에 전쟁의 불안보다는 튼튼한 안보, 평화로운 한반도를 물려주기 위해 책임을 다하는 것이 마르지 않는 눈물을 멈추게 하는 보훈의 길”이라고 강조했다."
"85","■ 원희룡 지사는 이날 오전 10시 20분 제주한라대학교 내 한라아트홀에서 열린 ‘6·25전쟁 70주년 기념행사’에 참석하여 이같이 밝혔다."
"86","■ 원희룡 지사는 “자유민주주의를 수호하고 평화와 번영의 대한민국을 있게 한 모든 분의 숭고한 희생이 헛되지 않도록 존경과 예우로 보답하겠다”고 말했다."
"87","<U+274D> 이어 “기적으로 이루어지는 평화, 우연히 얻어지는 자유는 없다”고 강조하며 “선열들이 두려움을 이기고 싸워서 쟁취한 피와 땀의 역사를 지키기 위해 최선을 다하겠다”고 밝혔다."
"88","■ ‘6·25전쟁 70주년 기념행사’는 원희룡 지사, 김희현 도의회 부의장, 박주용 교육청 부교육감, 진규상 해병대 제9여단장, 윤종준 해군 제7기동전단장 등 기관 단체장을 비롯해 보훈안보단체장 및 6·25참전유공자 120여 명이 참석한 가운데 거행됐다."
"89","<U+274D> 당초 올해 행사는 70주년을 맞아 6·25참전유공자의 희생과 헌신에 감사하는 대대적인 자리로 준비할 계획이었으나, 코로나19 감염증 확산으로 인해 대폭 축소하여 진행했다."
"90","■ 이날 행사는 감사메달 수여, 국가유공자증서 수여식, 무공훈장 수여식, 기념영상 및 기념뮤지컬, 6·25노래 제창 순으로 진행됐다."
"91","<U+274D> 원희룡 지사는 6·25전쟁 70주년사업추진위원회(위원장 국무총리) 주관으로 추진하는 ‘내 가슴 속 빛나는 불멸의 영웅! 감사메달(은화形)’을 송치선 대한민국6·25참전유공자회 제주도지부장에게 도내 6·25참전유공자를 대표하여 수여했다."
"92","<U+274D> 또한 새롭게 발굴된 민영학 국가유공자에게 국가유공자증서를, 육군본부 무공훈장 찾아주기 사업을 통해 발굴된 생존 참전유공자인 고우석·안택봉 씨와 안택봉 씨의 형인 故 안택영 씨에게 무공훈장을 수여했다."
"93","원희룡 제주도지사, 부동산 가격공시제도 개선 정부에 건의"
"94","- 표준주택 가격 역전 오류…감사원 감사결과 드러난 문제점 자체 조사 통해서도 확인"
"95","- 공시가격상승으로 인한 복지수급탈락자 현황조사 및 피해구제 위한 제도 개선해 달라"
"96","- 부동산 가격공시 결정권을 지자체로 이양…과세자주권 차원, 다양한 과표감산제 도입"
"97","■ 원희룡 제주도지사는 현행 부동산 가격공시제도의 가격 산정방식에 문제가 있고 이로 인한 조세정책 신뢰저하, 복지 사각지대 양산의 악순환이 불을 보듯 뻔하다며 이러한 문제를 개선해 줄 것을 정부에 건의했다고 25일 밝혔다."
"98","<U+274D> 부동산 가격공시제도는 정부가 ‘부동산 가격공시에 관한 법률’에 따라 매년 1월 1일을 기준으로 토지, 주택 등의 적정가격을 공시하는 제도이다."
"99","■ 제주도는 첫째, 국토교통부가 결정<U+2027>공시하는 표준주택 공시가격 산정 방식의 전면적인 개선을 건의했다."
"100","<U+274D> 현재 표준주택의 가격공시는 국토부의 권한이고, 지자체는 국토부가 공시한 표준주택을 기준으로 국토부에서 만든 토지가격 비준표를 적용해 개별주택의 공시가격을 산정한다."
"101","<U+274D> 제주도는 우선 국토부가 제공한 표준주택 가격에 역전 오류가 있다고 밝혔다."
"102","- 제주도는 지난 5월 19일 감사원이 발표한 ‘부동산 가격공시제도 운영실태’감사 결과에서 토지와 건물을 포함한 개별주택가격이 토지의 공시지가보다 낮게 결정되는 역전현상이 전국 주택의 5.9%에 해당하는 22만 8,475호에 달하는 것으로 나타났고,"
"103","- 제주도 자체 조사에서는 기준이 되는 표준주택 가격의 오류로 인해 도내 개별주택 가격의 오류로 직결된 사례들이 확인했다고 밝혔다."
"104","■ 제주도는 두 번째로 부동산 공시가격 상승으로 인한 복지수급 탈락자의 현황을 조사하고 피해구제를 위한 제도 개선을 정부에 요청했다."
"105","<U+274D> 공시지가 인상효과로 인해 기초연금 탈락, 건강보험료 인상, 복지혜택 제외로 나타난다며,"
"106","- 정부가 공시가격 상승으로 인해 복지탈락 위기에 처해 있는 서민과 취약계층의 피해를 우선적으로 조사해야 하며, 정확한 조사를 통해 구제함으로써 우리 사회 구석구석까지 촘촘하게 복지혜택이 스며들 수 있도록 해야 한다고 밝혔다."
"107","<U+274D> 제주도는 공시제도의 즉각적인 개선이 어렵다면 기초연금 수급자 선정기준이라도 바꿔야 한다면서 현행 중소도시 기초연금 기본재산 공제기준을 8,500만원에서 1억 원으로 상향해 줄 것을 건의문에 담았다."
"108","■ 제주도는 세 번째로 부동산 가격공시에 관한 정부의 결정권을 지자체로 이양해 달라는 입장을 전했다."
"109","<U+274D> 공시가격 오류는 제주뿐만 아니라 전국적으로 심각한 문제로 대두되고 있는 만큼 근원적 해결을 위해서는 과세자주권 차원에서 부동산 가격공시 결정권이 지자체로 이양되어야 한다는 게 제주도의 입장이다."
"110","<U+274D> 제주도는 권한 이양을 통해 복지수급 탈락자를 적극 방지 및 구제할 수 있다며,"
"111","- 주택 실수요자(1주택 실거주자), 65세 이상 노인, 농지 경작 농업인 등을 대상으로 한 다양한 과표감산제 도입을 통해 기초연금 탈락, 건강보험료 인상 영향을 차단할 수 있다고 밝혔다."
"112","■ 원희룡 제주도지사는 “코로나19로 인한 경제위기와 불확실성으로 그 어느 때보다 촘촘하고 안정적인 복지정책이 필요한 때”라며, “왜곡되고 불합리한 공시가격을 바로잡아 복지 사각지대 양산 우려와 조세정책 불신이 현실화 되지 않도록 정부가 적극 나설 줄 것”을 거듭 강조했다."
"113","별첨: 부동산 가격공시제도 개선을 위한 정부 건의문 1부."
"114","■ 제주도가 국토교통부에서 총괄 추진하는 ‘한국형 도심항공교통 민관협의체(UAM Team Korea)’에 함께 참여한다."
"115","<U+274D> 도심항공교통 민관협의체는 정부가 발표(‘20.6.4, 혁신성장 전략회의)한 한국형 도심항공교통(K-UAM) 로드맵의 체계적 추진을 위해 40여개 산<U+2027>학<U+2027>연<U+2027>관이 함께 참여하는 정책 공동체이다."
"116","■ 최승현 행정부지사를 비롯한 제주도 대표단은 24일 오전 10시 30분 서울 국립항공박물관에서 열리는 도심항공교통 민관협의체 발족식에 참석해, 다각적 협력사업 추진 및 정보 공유를 위한 협약을 체결했다."
"117","<U+274D> 이번 협약을 통해 지자체는 도시에서 신교통서비스 준비를, 대학교는 중장기 전문 인력 기반 확보를, 유관 공공기관은 항공<U+2027>통신<U+2027>자격<U+2027>건설<U+2027>전력<U+2027>도시<U+2027>공간 등 다양한 분야의 전문성에 힘을 보태기로 하며, 대한민국 도심항공교통 생태계가 구축될 것으로 전망하고 있다."
"118","<U+274D> 더불어 범정부적 정책<U+2027>제도 마련의 첫 단계부터 적극적으로 참여하고 제도화 완료 시까지 공동 노력을 기울이고 정부와 산학연이 함께 특별법 제정을 모색한다는 의미도 담고 있다."
"119","■ 특히 첨단기술 융합 산업의 신동력으로 부상하는 드론 산업이 관련 규제 등으로 인한 한계와 제약들이 발생하는 상황에서, 제주도가 드론 실증도시 및 스마트시티 챌린지 사업 등을 추진해 다양한 실증을 선보이고 있는 만큼 수도권의 도심 운용 전 실증 장소 및 상용화 모델로도 활용될 수 있을 것으로 보고 있다."
"120","<U+274D> 제주도는 오는 11월 드론특별자유화구역 지정에 앞서, 해양 및 한라산 일대 등으로 한정돼 있는 규제 샌드박스 구역을 제주도 전역으로 확대하는 서비스를 계획 중이다."
"121","<U+274D> 아울러 드론을 활용해 도심 내 범죄 예방, 해양 환경 모니터링, 한라산 긴급구호물품 배송서비스, 가스배관망 모니터링, 월동작물 재배지역 및 재선충 의심지역 자동 탐지, 도서산간지역의 비대면 물류 배송 등을 추진하고 있다."
"122","■ 원희룡 제주도지사는 “공공, 민간, 산업, 정부 영역의 다양한 드론 서비스 발굴과 실증시험, 정책 반영 등을 통한 드론 산업의 활성화와 기술 증진이 기대 된다”며 “제주도가 드론을 활용해 지역 현안을 해결하고 있는 사례를 공유하며 한국형 도심항공교통산업에 기여할 수 있도록 노력 하겠다”고 밝혔다."
"123","<U+274D> 원 지사는 지난 8일 드론 간식 배송 시연 행사에 참석한 자리에서 “드론산업을 선도하고 핵심 기술을 실증하는 제주의 역할을 다하면서 이제 곧 출현하는 드론택시 실증 서비스도 제주에서 이뤄질 수 있도록 준비 하겠다”고 밝힌 바도 있다."
"124","※ [붙임] 도심항공교통의 실현과 산업 발전을 위한 UAM Team Korea 발족식 행사 개요"
"125","■ 차기 제주의료원장 재공모에 총 2명이 지원했다."
"126","■ 제주특별자치도는 현 제주의료원장의 임기가 20일자로 만료됨에 따라 제주의료원 경영개선과 공공의료 확충에 필요한 적격자인 차기 제주의료원장을 지난 6월 9일부터 23일까지 재공모를 진행했다. 그 결과 23일 오후 6시 기준 모두 2명이 응모한 것으로 확인됐다."
"127","<U+274D> 공모 마감에 따라 제주특별자치도는 제주의료원 임원추천위원회를 구성해 서류전형과 면접심사를 실시할 계획이다."
