"","value"
"89","<U+274D> ‘전기차배터리 산업화센터*’는 전기차 폐배터리를 에너지저장장치로 재사용하기 위한 인프라 및 기술력 확보 등 자원순환체계 확립을 위해 설립됐다."
"90","* 전기차배터리 산업화센터 :첨단과학기술단지 제주테크노파크 디지털융합센터 부지 내에 설립 / 연면적 2,457㎡에 지상 3층 2개동(공정동, 연구동)으로 구성"
"91","■ 원희룡 지사는 “제주도는 전기차 보급사업을 우선사업으로 진행해 현재 1만 7천여대를 보급하고 있다”면서, “앞으로 전기차배터리 산업화센터가 전기차 연관산업과 전국 단위의 세계 1등 산업기반을 가지고 있는 배터리산업 발전에 작지만 의미 있는 기여를 할 수 있도록 최선을 다할 것”이라고 강조했다."
"92","■ 원희룡 지사는 특히, “전기차 보급사업을 선도하고 있는 제주가 사용후 배터리산업을 필두로 전·후방 연관산업을 개척해나가는 데 선도적 역할을 할 수 있도록 지원을 부탁한다”며 전기차 연관산업에 대한 관심을 당부했다."
"93","■ 제주특별자치도는 ‘전기차배터리 산업화센터’에 연간 1,500대의 전기차배터리를 소화할 수 있는 장비를 올해 말까지 구축·완료해 전기차배터리의 기본적인 회수와 배터리의 상태별 활용분야 발굴 및 안전성을 높여나갈 계획이다."
"94","<U+274D> 더불어, ‘전기차배터리 산업화센터’로 수거되는 전기차 폐배터리의 입고부터 각종 검사, 등급분류 및 출고까지의 생애주기 이력관리에 블록체인 기술을 적용하는 블록체인 기반 폐배터리 유통이력 관리시스템 구축사업’을 시행할 예정이다."
"95","■ 한편, 이날 개소식에는 원희룡 지사를 비롯해 유정열 산업통상자원부 산업정책실장, 박천규 환경부 차관 및 유관기관, 국내 에너지 관련기관, 사업 참여기관·기업 등 100여 명이 참석했다."
"96","■ 제주특별자치도는 26일 제주테크노파크에서 환경부(장관 조명래), 산업통상자원부(장관 성윤모), 경상북도(도지사 이철우), 현대자동차(대표이사 이원희) 등 5개 기관과 ‘전기자동차 사용후 배터리 자원순환체계 구축을 위한 업무협약(MOU)’을 체결했다."
"97","* 업무협약 서명자 : 환경부(박천규 차관), 산업통상자원부(유정열 산업정책실장), 제주도(원희룡 도지사), 경상북도(전우헌 경제부지사), 현대자동차(설원희 부사장)"
"98","■ 이번 업무협약은 향후 급격한 증가가 예상되는 전기차 사용후 배터리의 효율적 활용을 위해 추진됐으며, 중앙부처, 지자체, 자동차 업계가 협력해 관련 산업을 육성하고, 유가금속을 회수하는 등 순환경제 모델을 구축하는 것을 목적으로 하고 있다."
"99","<U+274D> 국내 전기차는 올해 5월말 기준 전국적으로 약 6만9천여대가 보급됐으며, 현재까지 지자체로 반납된 전기차 배터리는 112대에 불과하지만, 오는 2022년 이후에는 발생량이 급격히 증가할 것으로 예상된다."
"100","　* (배터리 예상발생량) 1,464대(‘20년) → 9,155대(‘22년, 제주테크노파크 전망치)"
"101","<U+274D> 전기차 사용후 배터리는 잔존가치에 따라 다양한 산업에 활용(재사용)이 가능하고, 제품으로 재사용이 어려울 경우에는 니켈, 코발트, 망간 등 유가금속 회수(재활용)가 가능해 전·후방 산업 연계 가능성이 높다."
"102","　* (재사용) 사용 후 제품/부품을 특별한 생산 공정 없이 최소한의 작업(단순 청소 및 정비)을 거쳐 중고품으로 다시 사용"
"103","　* (재활용) 사용 후 제품/부품을 수거하여 분해, 분류, 파쇄, 용융 등 물리·화학적 가공을 거친 후 원재료로 생산에 다시 투입"
"104","<U+274D> 하지만, 전기차 배터리의 잔존가치를 평가하거나 안전성을 보장하기 위해 국제적으로 합의된 방법과 기준이 없어 정부와 지자체, 민간 기업은 배터리 성능평가를 비롯한 재사용·재활용 방안 마련을 위해 공동의 노력을 기울여갈 계획이다."
"105","■ 협약은 사용후 배터리 재사용, 재활용 산업을 육성하기 위한 각 기관별 협력방안이 담겨 있다."
"106","<U+274D> 환경부와 산업통상자원부는 성능평가, 재사용, 재활용 관련 규정을 정비하고, 연구개발을 지원하는 등 추진기반을 마련한다."
"107","<U+274D> 산업통상자원부는 전기차 배터리 재사용·재활용을 포함한 배터리 산업 생태계를 육성하고, 환경부는 유가금속 회수 등 재활용체계를 구축한다."
"108","<U+274D> 제주도·경상북도·현대자동차는 지역경제 활성화를 위한 사업 모델을 발굴하는 등 협력체계를 구축한다,"
"109","<U+274D> 제주도와 환경부, 경상북도는 관련 연구의 원활한 추진을 위해 전문연구기관과 자동차업계에 전기자동차 사용후 배터리를 제공한다."
"110","<U+274D> 전문연구기관과 자동차업계는 차종별 사용후 배터리의 성능평가를 수행하고, 그에 따른 연구 성과를 공유하며 연구 완료 후에는 제공받은 배터리를 반납한다."
"111","<U+274D> 특히, 가시적인 성과를 창출하기 위해 올해 하반기부터 제주도, 현대자동차 등의 기관에서 보유한 시설과 전문 인력을 활용해 성능평가 기준 마련을 위한 시범사업*을 추진한다."
"112","* 현재 전문기관별로 성능평가 시험방법 및 기준(안)을 마련하기 위하여 연구를 진행 중이나, 통일된 시험방법 규정 후 데이터를 공유하는 등 협업 필요"
"113","■ 허영호 제주테크노파크원장은 “전기차배터리 산업화센터는 제주 전기차 전후방 산업의 첫걸음이라 생각하고, 지역기업의 우수한 아이씨티(ICT)기술을 융합하는 등 산업 생태계를 더욱 넓혀 경제 활성화에 이바지 하겠다”고 밝혔다."
"114","<U+2751> 원희룡 제주특별자치도지사는 26일 국가균형발전특별회계(이하 ‘균특회계’) 예산 집행 및 국비 확보 상황을 점검하며 “파급 효과나 성과가 미진하거나, 미집행 사업은 방 빼야 한다”고 말했다."
"115","<U+2751> 원 지사는 이날 오전 9시 제주도청 본관 2층 삼다홀에서 ‘균특회계 등 집행효율화 및 2020년 국고보조금 확보 대책회의’를 개최하며 이같이 전했다."
"116","<U+274D> 원희룡 지사는 “추가경정 예산은 파급 효과나 성과가 큰 부분에 대해 집행을 추가할 뿐만 아니라 시정할 수도 있는 것”이라며 “반영할 곳이 많은데 방을 차지하고 다른 부분의 우선순위까지 빼앗는 사업은 과감히 손질하고 반영이 안 된 곳에 새롭게 기회를 줄 수 있어야 한다”고 밝혔다."
"117","<U+2751> 이어 각 부서별 국고보조금 신청 상황과 개선대책을 확인하며 “쓰지도 못하고 공백을 빚는 일이 정말 특별한 경우를 제외하고는 발생하지 않아야 한다”고 질책했다."
"118","<U+2751> 원희룡 지사는 “집행 가능 여부, 지역 파급효과, 사전 절차 진행 상황 등을 확인해 고질적이고 타성에 젖은 이유를 방지하는 지침을 예산 편성 단계에서부터 잡아 달라”고 당부했다."
"119","<U+274D> 또한 “예산 집행은 예산을 담당하고 관리하는 곳에서만 돌아가고 사후집계만 하는 수준이 아니라 예산 집행 상황에 대해 월<U+2027>분기별로 진도를 점검하고, 부진 사유가 있을 경우 애로사항에 대해 집중적으로 해소할 수 있어야 한다”고 설명했다."
"120","<U+274D> “예산 추진상황에 대한 총괄점검과 독려, 감찰 기능 강화를 통해 필요하다면 민원인에 대한 직접적인 현장 소통을 통해 문제점이 있는지 살펴봐야 한다”고 요청했다."
"121","<U+2751> 균특회계와 관련해서는 “논리나 전략 개발에 있어 정부의 정책 지향점을 숙지하는 노력”을 요청했다."
"122","<U+274D> 원 지사는 “균특은 정권이 바뀔 때마다 명칭이나 편성 우선순위, 원칙 등이 바뀌고 있다”며 “중요한 변동이 있을 때에는 국과장을 비롯해 제주도 공무원이라면 누구나 도민들이나 언론, 의회에 설명할 수 있도록 숙지가 돼야 한다”고 덧붙였다."
"123","<U+2751> 이날 회의에서는 균특회계 제주계정의 집행 효율화와 국고보조금 확보 등 내년도 제주지역 살림 강화를 위한 실국별 전략이 집중 논의됐다."
"124","<U+274D> 회의에서는 예산편성 단계부터 연내 집행 가능여부를 검토하고, 집행 가능성이 높은 사업에 대한 우선 편성 추진을 개선대책으로 마련했다."
"125","<U+274D> 또 이월예산 조기 확정, 집행 책임관제 도입, 연례 반복적 이월사업에 대한 예산 편성 시 패널티 적용을 검토 등 집행률 제고를 위한 관리를 지속적으로 해나갈 것을 도모했다."
"126","<U+2751> 제주 4·3사건 진상규명 및 희생자 명예회복 실무위원회(위원장 제주특별자치도지사 원희룡)는 4·3희생자 및 유족 추가신고접수 건에 대한 11번째 심사를 25일 오후2시 제주도청 2층 환경마루 회의실에서 개최했다."
"127","<U+2751> 이번 제168차 실무위원회에서는 지난 한 해 동안 추가신고 접수된 건 중 올해 3월까지 사실조사가 완료된 2,112명(유족 2,112명)에 대한 심사를 진행하고 2,106명 인정·6명 불인정 의결해 4·3중앙위원회에 심의·결정을 요청했다."
"128","<U+274D> 유족 불인정자 6명은 4·3특별법의 유족 범위 미해당 5명과 선순위 유족 생존 1명으로 확인됐다."
"129","<U+274D> 4·3실무위원회는 추가신고 접수된 21,392명(희생자 342명, 유족 21,050명) 중 이번에 심사한 2,112명을 포함해 전체 66%인 14,199명의 심사를 완료했다."
"130","<U+274D> 한편, 4·3중앙위원회 심의<U+2027>결정은 소위원회와 중앙위원회 등을 차례로 거쳐 심사하며 6월 중순 현재 5,081건 완료했다."
"131","<U+2751> 허법률 제주도 특별자치행정국장은 “앞으로 희생자 및 유족 심사가 조기에 결정될 수 있도록 4·3실무위원회 심사 건수를 확대하고, 중앙위원회와 협의를 강화해 유족의 아픔해소를 위해 온 힘을 쏟겠다”고 밝혔다."
"132","※ 붙임 : 4·3희생자 심의결정 추진 일정 및 심사현황 1부."
"133","<U+2751> “진짜 원인, 반대 요인을 비롯해 쓴 소리가 빠져 있는 서면보고에만 의지하면 큰 일 난다. 서면보고는 일종의 보관과 기록, 확인용일 뿐”이라고 말했다."
"134","<U+274D> 현장이 중심이 되어야 하고, 정확한 의사결정 역시 현장의 목소리가 중심이 되어 생생한 토론을 통해 이뤄져야 하지, 문서에만 의지해서는 안 된다는 의미다."
"135","<U+2751> 원희룡 제주특별자치도지사는 6월 25일 한국정치학회(회장 장훈 중앙대 교수)가 주관하는 ‘2019 한국학 세계대회’에 참석해 재선 도지사로서의 본인의 경험과 지향해야 할 바를 주제로 강연을 펼쳤다."
"136","<U+274D> 건국대에서 열리는 이번 세계대회에는 24일부터 3일간 국내외 저명한 정치학자들이 참여해 한반도 상황 등에 대해 토론하고, 홍석현 한반도평화만들기 이사장과 원희룡 지사가 24일과 25일에 각각 기조연설자로 참여했다."
"137","<U+2751> 이날 원희룡 지사는 “국회의원은 메시지를 통해 비판하는 기능이 있는 반면에 도지사는 비판하기보다는 비판받는 입장이고 책임지는 자리”라며 “도지사직의 핵심은 책임”이라고 강조했다."
"138","<U+274D> 원 지사는 “도지사직은 모든 일을 이끌면서 책임을 져야 하는 자리”라며 “지난 5년간 도지사로서 직접 해야 할 일과 권한을 위임하는 일을 구분하고 운영해 온 것 자체가 굉장한 일이고 경험”이라고 말했다."
